"","mncounty","mnFluBoolean"
"1","Aitkin",FALSE
"2","Anoka",FALSE
"3","Becker",FALSE
"4","Beltrami",FALSE
"5","Benton",FALSE
"6","Big Stone",FALSE
"7","Blue Earth",TRUE
"8","Brown",TRUE
"9","Carlton",FALSE
"10","Carver",FALSE
"11","Cass",FALSE
"12","Chippewa",TRUE
"13","Chisago",FALSE
"14","Clay",TRUE
"15","Clearwater",FALSE
"16","Cook",FALSE
"17","Cottonwood",TRUE
"18","Crow Wing",FALSE
"19","Dakota",FALSE
"20","Dodge",FALSE
"21","Douglas",FALSE
"22","Faribault",FALSE
"23","Fillmore",FALSE
"24","Freeborn",FALSE
"25","Goodhue",FALSE
"26","Grant",FALSE
"27","Hennepin",FALSE
"28","Houston",FALSE
"29","Hubbard",FALSE
"30","Isanti",FALSE
"31","Itasca",FALSE
"32","Jackson",FALSE
"33","Kanabec",FALSE
"34","Kandiyohi",TRUE
"35","Kittson",FALSE
"36","Koochiching",FALSE
"37","Lac qui Parle",FALSE
"38","Lake",FALSE
"39","Lake of the Woods",FALSE
"40","Le Sueur",TRUE
"41","Lincoln",FALSE
"42","Lyon",TRUE
"43","McLeod",FALSE
"44","Mahnomen",FALSE
"45","Marshall",FALSE
"46","Martin",FALSE
"47","Meeker",TRUE
"48","Mille Lacs",FALSE
"49","Morrison",FALSE
"50","Mower",FALSE
"51","Murray",FALSE
"52","Nicollet",TRUE
"53","Nobles",TRUE
"54","Norman",FALSE
"55","Olmsted",FALSE
"56","Otter Tail",TRUE
"57","Pennington",FALSE
"58","Pine",FALSE
"59","Pipestone",TRUE
"60","Polk",FALSE
"61","Pope",TRUE
"62","Ramsey",FALSE
"63","Red Lake",FALSE
"64","Redwood",TRUE
"65","Renville",TRUE
"66","Rice",FALSE
"67","Rock",FALSE
"68","Roseau",TRUE
"69","St. Louis",FALSE
"70","Scott",FALSE
"71","Sherburne",FALSE
"72","Sibley",FALSE
"73","Stearns",TRUE
"74","Steele",TRUE
"75","Stevens",FALSE
"76","Swift",TRUE
"77","Todd",FALSE
"78","Traverse",FALSE
"79","Wabasha",FALSE
"80","Wadena",TRUE
"81","Waseca",FALSE
"82","Washington",FALSE
"83","Watonwan",TRUE
"84","Wilkin",FALSE
"85","Winona",FALSE
"86","Wright",FALSE
"87","Yellow Medicine",FALSE
