"","states","fluBoolean"
"1","Alabama",FALSE
"2","Alaska",FALSE
"3","Arizona",FALSE
"4","Arkansas",TRUE
"5","California",TRUE
"6","Colorado",FALSE
"7","Connecticut",FALSE
"8","Delaware",FALSE
"9","District of Columbia",FALSE
"10","Florida",FALSE
"11","Georgia",FALSE
"12","Hawaii",FALSE
"13","Idaho",TRUE
"14","Illinois",FALSE
"15","Indiana",TRUE
"16","Iowa",TRUE
"17","Kansas",TRUE
"18","Kentucky",FALSE
"19","Louisiana",FALSE
"20","Maine",FALSE
"21","Maryland",FALSE
"22","Massachusetts",FALSE
"23","Michigan",FALSE
"24","Minnesota",TRUE
"25","Mississippi",FALSE
"26","Missouri",TRUE
"27","Montana",TRUE
"28","Nebraska",TRUE
"29","Nevada",FALSE
"30","New Hampshire",FALSE
"31","New Jersey",FALSE
"32","New Mexico",FALSE
"33","New York",FALSE
"34","North Carolina",FALSE
"35","North Dakota",TRUE
"36","Ohio",FALSE
"37","Oklahoma",FALSE
"38","Oregon",TRUE
"39","Pennsylvania",FALSE
"40","Rhode Island",FALSE
"41","South Carolina",FALSE
"42","South Dakota",TRUE
"43","Tennessee",FALSE
"44","Texas",FALSE
"45","Utah",FALSE
"46","Vermont",FALSE
"47","Virginia",FALSE
"48","Washington",TRUE
"49","West Virginia",FALSE
"50","Wisconsin",TRUE
"51","Wyoming",FALSE
"52","Puerto Rico",FALSE
